# BEAST v10.5.0
# Generated Tue Jan 20 11:25:10 CET 2026 [seed=1768904692127]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-23311.216256487958	-58.96897507236365	-23252.247281415595	8.957361929977546	2016.798802453584	23.776458953288532	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	9.999999999999996E-4	-23252.247281415595	0.0	-50.81720190445317
1000	-17866.224841213156	-147.24497358210985	-17718.979867631046	7.483998614490023	2018.2721657690715	41.18034023355807	4.196456142407446	0.02234021225212124	6.413647535237034	0.2480554168158608	0.2499999999	0.2519445833841393	0.2499999999	0.4253922369469106	0.0013844179324101053	0.0013844179324101053	-17718.979867631046	0.0	-136.5139903486908
2000	-17117.060413274656	-144.547703081331	-16972.512710193325	8.080202805824722	2017.6759615777369	42.97272380902896	5.583493508891916	0.026389532357570245	13.070764407090387	0.2661611762300434	0.2499999999	0.26842237816287234	0.21541644570708438	0.17496924629439548	7.413301570255808E-4	7.413301570255807E-4	-16972.512710193325	0.0	-133.12431014320097
3000	-17020.443488221827	-154.7967686730001	-16865.646719548826	8.335371081433882	2017.4207933021278	49.45272646387419	10.964342325550714	0.2744525851066968	17.797658545894265	0.2589029609683493	0.23785011520485227	0.2833914262236111	0.21985549760318748	0.11023338613803814	5.994319419767398E-4	5.9943194197674E-4	-16865.646719548826	0.0	-142.35007151859378
4000	-16893.603796077634	-150.97393436341633	-16742.629861714217	9.856609871537835	2015.8995545120238	51.81224404094195	5.722080970145145	0.14227935202289688	18.642276737436124	0.2645271452007772	0.2347587008768416	0.28304212559747904	0.21767202832490232	0.09694075930029702	4.84393145024849E-4	4.8439314502484923E-4	-16742.629861714217	0.0	-139.24163381284754
5000	-16897.201933600732	-151.69054376580723	-16745.511389834926	9.685601763071256	2016.0705626204904	51.79461035319763	3.960386732472873	-0.019522340947979	19.627956096657446	0.2673668040072005	0.22374542642511505	0.286004358182503	0.2228834113851815	0.13629163871367087	5.383689295285805E-4	5.383689295285804E-4	-16745.511389834926	0.0	-140.07850976489343
6000	-16877.95895887412	-146.86742200749373	-16731.091536866625	9.540246214412718	2016.2159181691488	49.82217235128098	3.986528311258459	-0.1132849442789352	18.3180256424747	0.2637600939819602	0.23254017032494412	0.2842514811435204	0.2194482545495753	0.054912459555334185	5.105583116972631E-4	5.105583116972633E-4	-16731.091536866625	0.0	-135.57509692530675
7000	-16856.225235565224	-149.38963515474234	-16706.835600410483	9.679629197674647	2016.076535185887	51.584687983989426	4.168147275099507	-0.060846680159348576	22.835351338256544	0.2675005073778926	0.22991074416975574	0.27686654864219007	0.2257221998101616	0.027079213808605188	5.08356565026455E-4	5.083565650264552E-4	-16706.835600410483	0.0	-137.62244960679266
8000	-16856.020965273412	-138.90471340504337	-16717.116251868367	9.343308935940312	2016.4128554476213	47.741888901554	4.461211600523671	0.04272440145711176	27.56540369711483	0.2616209975680012	0.23214429891821842	0.28663675215070944	0.21959795136307092	0.039965890735871354	5.509684964838307E-4	5.509684964838308E-4	-16717.116251868367	0.0	-126.50871280272655
9000	-16839.161665384352	-140.46453537153153	-16698.69713001282	9.448488267586274	2016.3076761159753	46.83750130710099	7.121097402052101	0.1443011128433791	20.874291339252633	0.26889471848508545	0.22503632651481426	0.2855229355121034	0.22054601948799682	0.022869173049501288	5.903489427258388E-4	5.903489427258388E-4	-16698.69713001282	0.0	-128.25198321482137
